source_product_id,tenant_id,name,category,source_unit,source_stockUnit,approved_semantics,base_quantity_semantics,unit_status,conversion,recommended_action,owner_required
prod_1779104406958,comp_1777895277336,Chân Gà,Chân,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1779104421262,comp_1777895277336,Chân Vịt,Chân,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1779104434102,comp_1777895277336,Đầu Gà,Phụ,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1779104446485,comp_1777895277336,Đầu Vịt,Phụ,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1779104459006,comp_1777895277336,Đầu Vịt Dài,Phụ,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1779104474430,comp_1777895277336,Lòng Gà,Lòng,Bộ,Bộ,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,Bộ,RESOLVED_BY_SOURCE_EQUALITY,NONE_APPROVED,PRESERVE_SOURCE_UNIT,NO_FOR_UNIT_SEMANTICS
prod_1779104486206,comp_1777895277336,Lòng Vịt,Lòng,Bộ,Bộ,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,Bộ,RESOLVED_BY_SOURCE_EQUALITY,NONE_APPROVED,PRESERVE_SOURCE_UNIT,NO_FOR_UNIT_SEMANTICS
prod_1779104541910,comp_1777895277336,Phế Phẩm,Phụ,Kg,Cái,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,OWNER_REVIEW,OWNER_REVIEW,NONE_APPROVED,OWNER_REVIEW_UNIT_SEMANTICS,YES
prod_1781562583964,comp_1777895277336,Mỡ Gà,Gà,Kg,Kg,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,Kg,RESOLVED_BY_SOURCE_EQUALITY,NONE_APPROVED,PRESERVE_SOURCE_UNIT,NO_FOR_UNIT_SEMANTICS
prod_1781656503918,comp_1777895277336,Lông Vịt,Vịt,Kg,Kg,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,Kg,RESOLVED_BY_SOURCE_EQUALITY,NONE_APPROVED,PRESERVE_SOURCE_UNIT,NO_FOR_UNIT_SEMANTICS
prod_1782977822236,comp_1777895277336,Phao Câu,Lòng,Kg,Kg,D1_BYPRODUCT_PRESERVE_ACTUAL_SOURCE_UNIT,Kg,RESOLVED_BY_SOURCE_EQUALITY,NONE_APPROVED,PRESERVE_SOURCE_UNIT,NO_FOR_UNIT_SEMANTICS
