tenant_id,source_product_id,source_name,category,source_unit,source_stock_unit,product_code,base_unit,unit_semantics_decision,duplicate_decision,target_product_decision,owner_decision,owner_note,approved_by,approved_at
comp_1777895277336,prod_1779104073246,Gà Sống,Gà,Kg,Cái,PROPOSED:HD-LIVE-GA-1779104073246,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-LIVE-GA-1779104073246; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104101173,Gà Móc,Gà,Kg,Kg,PROPOSED:HD-PROCESSED-GA-1779104101173,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104101173; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104118174,Gà Không Móc,Gà,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104146701,Gà Móc Sạch,Gà,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104146701,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104146701; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104170597,Gà Móc Sạch Cắt Chân,Gà,Kg,Cái,PROPOSED:HD-PROCESSED-GA-1779104170597,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-GA-1779104170597; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104205565,Vịt Sống,Vịt,Kg,Cái,PROPOSED:HD-LIVE-VIT-1779104205565,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-LIVE-VIT-1779104205565; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104224062,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,KEEP_SEPARATE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Owner approved E1: KEEP_SEPARATE; no merge; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104241550,Vịt Móc,Vịt,Kg,Cái,PROPOSED:HD-PROCESSED-VIT-1779104241550,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-VIT-1779104241550; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104268878,Vịt Móc Sạch,Vịt,Kg,Cái,PROPOSED:HD-PROCESSED-VIT-1779104268878,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-VIT-1779104268878; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104293541,Vịt Móc Sạch Cắt Chân,Vịt,Kg,Cái,PROPOSED:HD-PROCESSED-VIT-1779104293541,Con,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,Owner approved B1/C3: quantity unit CON and weight KG are independent; no conversion; PROPOSED code HD-PROCESSED-VIT-1779104293541; not written to database; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
comp_1777895277336,prod_1779104313397,Vịt Bọng,Vịt,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_APPLICABLE,OWNER_REVIEW,OWNER_REVIEW,A1/E1 applied only where evidenced; unresolved group or target requires review; Code group unresolved; no code proposed; Target Product/tenant mapping remains OWNER_REVIEW,OWNER_REQUIRED,OWNER_REQUIRED
