source_product_id,tenant_id,name,category,source_unit,source_stockUnit,proposed_code,review_reason,evidence,recommended_action,owner_required
prod_1779104118174,comp_1777895277336,Gà Không Móc,Gà,Kg,Cái,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104224062,comp_1777895277336,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104313397,comp_1777895277336,Vịt Bọng,Vịt,Kg,Cái,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104330830,comp_1777895277336,Cánh Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104330830,A,Explicit category/name identifies processed poultry; approved C3 quantity CON + independent weight KG,PROPOSED_PROCESSED_GA,NO_FOR_GROUP_CLASSIFICATION
prod_1779104342214,comp_1777895277336,Đùi Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104342214,A,Explicit category/name identifies processed poultry; approved C3 quantity CON + independent weight KG,PROPOSED_PROCESSED_GA,NO_FOR_GROUP_CLASSIFICATION
prod_1779104360773,comp_1777895277336,Đùi Tỏi,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104360773,A,Explicit category/name identifies processed poultry; approved C3 quantity CON + independent weight KG,PROPOSED_PROCESSED_GA,NO_FOR_GROUP_CLASSIFICATION
prod_1779104371789,comp_1777895277336,Ức Gà,Gà Công Nghiệp,Kg,Cái,HD-PROCESSED-GA-1779104371789,A,Explicit category/name identifies processed poultry; approved C3 quantity CON + independent weight KG,PROPOSED_PROCESSED_GA,NO_FOR_GROUP_CLASSIFICATION
prod_1779104388678,comp_1777895277336,Gà Bọng,Gà Công Nghiệp,Kg,Cái,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104526942,comp_1777895277336,Thùng Xốp,Phụ,Cái,Cái,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104571278,comp_1777895277336,Đá,Phụ,Bao,Cái,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104605054,comp_1777895277336,Vịt Loại,Vịt,Con,Con,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1779104619174,comp_1777895277336,Gà Loại,Vịt,Con,Con,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1782399766159,comp_1780202063417,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1782399802559,comp_1780202063417,Vịt Không Móc,Vịt,Kg,Kg,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1786785535576,comp_1777895277336,Vịt Không Móc To,Vịt,Con,Con,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
prod_1786785560787,comp_1777895277336,Vịt Không Móc Trung,Vịt,Con,Con,OWNER_REQUIRED,B,category/name does not prove a deterministic code group; source Product snapshot fields only; no target rows queried,OWNER_REVIEW_GROUP_BEFORE_CODE,YES
