source_product_id,tenant,name,source_unit,source_stockUnit,approved_semantics,required_uom,base_uom,purchase_uom,sales_uom,inventory_uom,conversion_required,owner_required,status
prod_1779104073246,comp_1777895277336,Gà Sống,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104101173,comp_1777895277336,Gà Móc,Kg,Kg,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104118174,comp_1777895277336,Gà Không Móc,Kg,Cái,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104146701,comp_1777895277336,Gà Móc Sạch,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104170597,comp_1777895277336,Gà Móc Sạch Cắt Chân,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104205565,comp_1777895277336,Vịt Sống,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104224062,comp_1777895277336,Vịt Không Móc,Kg,Kg,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,OWNER_REVIEW,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104241550,comp_1777895277336,Vịt Móc,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104268878,comp_1777895277336,Vịt Móc Sạch,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
prod_1779104293541,comp_1777895277336,Vịt Móc Sạch Cắt Chân,Kg,Cái,POULTRY_QTY_CON_WEIGHT_KG_INDEPENDENT,Con + Kg independent,Con,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,TARGET_UOM_REQUIRED,NO_FIXED_CON_KG_CONVERSION,YES,BLOCKED_TARGET_TENANT_OR_UOM
