tenant,product,required_uom,role,conversion_required,conversion_status,owner_required,target_status
comp_1777895277336 / prod_1779104073246,Gà Sống / prod_1779104073246,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104101173,Gà Móc / prod_1779104101173,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104118174,Gà Không Móc / prod_1779104118174,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104146701,Gà Móc Sạch / prod_1779104146701,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104170597,Gà Móc Sạch Cắt Chân / prod_1779104170597,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104205565,Vịt Sống / prod_1779104205565,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104224062,Vịt Không Móc / prod_1779104224062,OWNER_REVIEW,OWNER_REVIEW,OWNER_REVIEW,NOT_DETERMINED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104241550,Vịt Móc / prod_1779104241550,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104268878,Vịt Móc Sạch / prod_1779104268878,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
comp_1777895277336 / prod_1779104293541,Vịt Móc Sạch Cắt Chân / prod_1779104293541,Con + Kg independent,OWNER_REVIEW,NO_FIXED_CON_KG_CONVERSION,NO_FIXED_CONVERSION_APPROVED,YES,BLOCKED_TARGET_TENANT_UOM_PRODUCT
