source_company_id,source_name,evidence_count,evidence_sources,target_candidate,confidence,status,owner_required
comp_1777895277336,HD Co.Ltd,2713,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=34; warehouseImports=154; warehouseDispatches=2431; warehouseStockCounts=94,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898639926,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898664738,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898718439,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898746839,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898955908,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1777898983895,Cong Ty Test Cai Dat,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1778394928401,Ospuuq,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1780202063417,Doanh Thu Hàng Tháng ,2,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=2; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_1b68c5f1-7fbd-43d8-8a19-c9d8d3eee5e0,Test Company,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
comp_b2b1e1f0-668a-4209-9829-5779c50105d4,Demo,0,immutable snapshot phase3f1-reconstruction-20260820-04; products JSONL SHA-256 7df19e4f049e1863002b93af37ecf60078044d27ee99dd1c7af3958a23d7e949; Company record present; Product=0; warehouseImports=0; warehouseDispatches=0; warehouseStockCounts=0,OWNER_REQUIRED,HIGH,OWNER_REVIEW,YES
